Gene	C2	C7	C3	C5	C12	C13	C14	C11	C4	C8	C6	C10	C9	C1
Gnl3	1.082644841563786	1.2070897010309278	1.4074434590163933	1.5066040152671756	0.7752508458333334	0.7387000294117647	1.0893648043478261	1.1453694971098265	1.0024026372007366	1.2452754027027026	1.6747039409722222	1.6080333265306122	1.9462736609589042	1.9561114212454211
Gnpat	0.6714375658436215	0.7023951391752578	0.8188072336065574	1.0786276679389315	0.420050975	0.4328435343137255	0.41459089130434784	0.7052787225433526	0.5520444880294659	0.9267221621621622	1.258190232638889	0.6870048418367347	0.9078377191780822	1.5341493076923078
Golim4	1.6872007098765434	1.5934247989690722	1.2436819282786886	1.4379667709923665	0.6469598583333334	1.012925205882353	0.4569679202898551	1.7309317861271676	1.1005643075506444	0.722748081081081	0.5601566041666666	0.47972115816326527	0.12607895547945205	0.16098872527472527
Gorasp2	1.9499049341563788	1.974378149484536	1.3392845225409835	1.528876179389313	0.9110286750000001	1.2170565637254902	0.5996946739130434	1.158995676300578	0.8788634309392266	1.0401611459459459	1.2687958090277778	0.8152064540816326	0.866950654109589	1.1859431025641025
Got1	0.562185353909465	0.667235293814433	0.6321166557377049	1.2489185648854961	0.319171325	0.2200899950980392	0.24495126086956523	0.5339250289017341	0.30097053222836095	0.6832674297297298	1.0534218993055555	0.45811852040816325	1.0961903424657535	1.5473258021978022
Gpc4	1.3407783930041153	1.3221977731958763	0.8349842172131148	0.9751034694656487	0.7222821583333333	1.0453701568627451	0.411333768115942	1.0009488092485548	0.786370285451197	0.5062627162162162	0.3642692986111111	0.38488702551020404	0.1438668904109589	0.4256245457875458
Gpi1	1.3288463148148149	1.2229487989690722	1.6450440327868852	1.866296492366412	1.4645250208333331	1.4668474558823528	2.0381281811594203	2.144758959537572	1.899006523020258	2.2450363324324325	1.9800214895833332	1.7488421275510204	2.1226585821917805	1.771027575091575
Gpm6b	0.13496311316872428	0.09103996391752578	0.16469169467213113	0.24105604198473282	0.241010625	0.986904480392157	0.29261004347826086	0.643172901734104	0.5355160976058931	0.4051067054054054	0.31171010763888884	0.45315210204081635	0.10172346232876713	0.006927666666666667
Gpn3	0.3242925514403292	0.6080580206185567	0.5357703504098361	0.7061986946564885	0.21001289583333332	0.14143238235294117	0.16161307971014494	0.23142970520231215	0.17616321362799264	0.3981016432432432	0.8408782118055556	0.4038553520408163	0.8200775821917808	0.9127749597069598
Gpr176	1.2014776440329218	1.1959521804123712	0.2762181004098361	0.4344075801526717	0.18705255	0.36774057352941175	0.02684366666666667	0.13049415606936418	0.07140080478821363	0.09102665135135136	0.05387206597222222	0.009535010204081634	0.0037010890410958904	0.0
